,winery,country_id,province_id
247,O. Fournier,6.0,10.0
248,Pico Maccario,0.0,31.0
249,Sottano,6.0,10.0
250,St. Francis,2.0,7.0
251,Trailhead,2.0,7.0
252,Franz Haas,0.0,41.0
253,Forstreiter,9.0,54.0
254,Cambria,2.0,7.0
255,I Giusti e Zanza,0.0,27.0
256,J. Christopher,2.0,2.0
257,Viña Cobos,6.0,10.0
258,Salomon-Undhof,9.0,54.0
259,Talley,2.0,7.0
260,Acústic,3.0,55.0
261,Josef Schmid,9.0,54.0
262,Parallel,2.0,7.0
263,Château Lafon-Rochet,4.0,16.0
264,Dionigi,0.0,19.0
265,Domaine Daniel Dugois,4.0,26.0
266,Kilikanoon,8.0,22.0
267,Finca Sophenia,6.0,10.0
268,Treana,2.0,7.0
269,Ventisquero,7.0,17.0
270,Aquinas,2.0,7.0
271,Arboleda,7.0,38.0
272,Attilio Ghisolfi,0.0,31.0
273,Buried Cane,2.0,18.0
274,Cantina del Nebbiolo,0.0,31.0
275,Cascina Adelaide,0.0,31.0
276,Cascina La Ghersa,0.0,31.0
277,Claudia Springs,2.0,7.0
278,Cramele Recas,15.0,56.0
279,Domaine Bertagna,4.0,21.0
280,Domaine Sigalas,14.0,53.0
281,Socré,0.0,31.0
282,Boffa,0.0,31.0
283,Otto's Constant Dream,11.0,57.0
284,Mount Veeder,2.0,7.0
285,Rabino,0.0,31.0
286,Bellussi,0.0,43.0
287,Château Mont-Pérat,4.0,16.0
288,Château Tour de Mirambeau,4.0,16.0
289,Aresti,7.0,58.0
290,Paladin,0.0,43.0
291,Perlage,0.0,43.0
292,Sant Eurosia,0.0,43.0
293,J. & F. Lurton,7.0,13.0
294,L'Antica Quercia,0.0,43.0
295,Lucas Vineyards,2.0,29.0
296,Marsuret,0.0,43.0
297,De Martino,7.0,59.0
298,Beringer,2.0,7.0
299,Brutocao,2.0,7.0
300,Clos La Chance,2.0,7.0
301,Cono Sur,7.0,42.0
302,Sommariva,0.0,43.0
303,Spagnol,0.0,43.0
304,Jacquart,4.0,20.0
305,Koyle,7.0,60.0
306,Château Notre Dame du Quatourze,4.0,61.0
307,Mémoires,4.0,62.0
308,Cavas Hill,3.0,55.0
309,Antoine Moltès & Fils,4.0,5.0
310,Pezzi King,2.0,7.0
311,Bellisco,3.0,55.0
312,Pura 8,7.0,24.0
313,Viña Tarapacá,7.0,30.0
314,Chambers Rosewood Vineyards,8.0,63.0
315,Robert Weil,5.0,64.0
316,Torbreck,8.0,22.0
317,Cavallotto,0.0,31.0
318,Oremus,13.0,65.0
319,Rochioli,2.0,7.0
320,Louis Latour,4.0,21.0
321,Jasper Hill,8.0,63.0
