,province,pro_lat,pro_lon,country_id
201,San Vicente,32.9124991,-116.9264573,16.0
202,Nashik,19.9974533,73.78980229999999,33.0
203,Franschhoek,-33.8974833,19.1523292,10.0
204,South Island,-45.15267069999999,169.8926333,11.0
205,Atlantida,-33.0,-56.0,25.0
206,Thracian Valley,43.0,25.0,34.0
207,Tarnave,46.0,25.0,15.0
208,Vipavska Dolina,46.25,15.166667000000002,21.0
209,Bekaa Valley,34.008889,36.145278,27.0
210,Elgin,42.0354084,-88.2825668,10.0
211,Itata Valley,-36.7639335,-72.4491456,7.0
212,Table wine,39.5,-8.0,1.0
213,Samson,31.5,34.75,12.0
214,Madeira,32.76070740000001,-16.9594723,1.0
215,Cyprus,35.126413,33.429859,35.0
216,Pageon,39.0,22.0,14.0
217,Vinho Espumante de Qualidade,39.5,-8.0,1.0
218,Wellington,-41.2864603,174.776236,10.0
219,Danube River Plains,46.3219325,18.3950715,34.0
220,Gisborne,-38.662334,178.017649,11.0
221,Obidos,39.3604212,-9.1582014,1.0
222,Wairarapa,-42.0,174.0,11.0
223,Armenia,40.069099,45.038189,36.0
224,Santa Cruz,36.9741171,-122.0307963,7.0
225,Korčula,42.9297182,16.888644,23.0
226,Viile Timisului,46.0,25.0,15.0
227,Illinois,40.6331249,-89.3985283,2.0
228,Aegean,39.059012,34.911546,19.0
229,Simonsberg-Paarl,54.436667,8.971943999999999,10.0
230,Juanico,-33.0,-56.0,25.0
231,Black Sea Coastal,42.49253,27.4746,34.0
232,Santa Catarina,-27.2423392,-50.2188556,29.0
233,Overberg,-34.4897034,20.402376,10.0
234,Atalanti Valley,38.6528663,22.998361,14.0
235,Sebes,45.9595588,23.5663758,15.0
236,Moscatel de Setúbal,38.5243675,-8.8928628,1.0
237,Macedonia,41.608635,21.745275,14.0
238,Ribatejo,39.5,-8.0,1.0
239,Germany,51.165691,10.451526,5.0
240,Palmela,38.569441,-8.9016937,1.0
241,Galil,31.5,34.75,12.0
242,Kras,46.25,15.166667000000002,21.0
243,Croatia,45.1,15.2000001,23.0
244,Waipara,-43.05483419999999,172.7612505,11.0
245,Olifants River,-24.3559,30.6482544,10.0
246,Montevideo,-34.9011127,-56.16453139999999,25.0
247,Campanha,-21.8343864,-45.3990201,29.0
248,Israel,31.046051,34.851612,12.0
249,Neusiedlersee,47.8650427,16.7775594,9.0
250,Hungary,47.162494,19.5033041,13.0
251,Lolol Valley,-30.0,-71.0,7.0
252,Cauquenes Valley,-30.0,-71.0,7.0
253,Groenekloof,-30.0,26.0,10.0
254,Alenquer,39.0574004,-9.0063654,1.0
255,Goriska Brda,45.9975652,13.5270474,21.0
256,Murfatlar,44.1735518,28.4105479,15.0
257,Moscatel do Douro,41.2668153,-7.500011700000001,1.0
258,Washington-Oregon,45.5469616,-123.1386021,2.0
259,New Zealand,-40.900557,174.885971,11.0
260,Serra Gaúcha,33.6340691,-112.2353196,29.0
261,San Jose,37.3382082,-121.8863286,25.0
262,Vale dos Vinhedos,-29.1778957,-51.5672795,29.0
263,Mittelburgenland,47.49497,16.50879,9.0
264,Lutzville Valley,-30.0,26.0,10.0
265,North Carolina,35.7595731,-79.01929969999999,2.0
266,Apalta,-30.0,-71.0,7.0
267,Malleco,-38.1635613,-72.5204827,7.0
268,Guerrouane,32.0,-5.0,31.0
269,Valais,46.1904614,7.5449226,37.0
270,Choapa Valley,-31.6004795,-71.5189767,7.0
271,Georgia,32.1656221,-82.9000751,24.0
272,Ankara,39.9333635,32.8597419,19.0
273,Samos,37.7547857,26.9777701,14.0
274,Mittelrhein,51.5,10.5,5.0
275,Eisenberg,47.333333,13.333332999999998,9.0
276,Sagrada Familia,41.4036299,2.1743558,7.0
277,Austria,47.516231,14.550072,9.0
278,Mostar,43.34377480000001,17.8077578,38.0
279,Iowa,41.8780025,-93.097702,2.0
280,Tulbagh,-33.2872221,19.1434108,10.0
281,Cederberg,-32.5891202,19.0118251,10.0
282,Hemel en Aarde,-34.4116592,19.2065868,10.0
283,Ceres Plateau,-30.0,26.0,10.0
284,Bot River,-34.2254252,19.1969241,10.0
285,Patras,38.2466395,21.734574,14.0
286,Korinthia,38.0022977,22.5245093,14.0
287,Greece,39.074208,21.824312,14.0
288,San Clemente,33.4273521,-117.6126004,7.0
289,Podunavlje,45.166667,15.5,23.0
290,Florina,40.78452619999999,21.4131222,14.0
291,Buin,-33.7309374,-70.7423218,7.0
292,Haut-Judeé,31.5,34.75,12.0
293,Ukraine,48.379433,31.1655799,39.0
294,Terras do Sado,39.5,-8.0,1.0
295,Maipo Valley-Colchagua Valley,-34.6403625,-71.3654431,7.0
296,Brazil,-14.235004,-51.92528,29.0
297,Breedekloof,-33.6929187,19.3210622,10.0
298,Leyda Valley-Maipo Valley,-30.0,-71.0,7.0
299,Vermont,44.5588028,-72.57784149999999,2.0
300,Switzerland,46.818188,8.227511999999999,37.0
301,Waitaki Valley,-44.7433485,170.4635009,11.0
302,Eger,47.9025348,20.3772284,13.0
303,Golan Heights,33.01558540000001,35.784354,12.0
304,Fruška Gora,45.1570803,19.7093272,28.0
305,Philadelphia,39.9525839,-75.1652215,10.0
306,Muzla,47.7922734,18.5974801,40.0
307,Mátra,47.8833333,19.95,13.0
308,Pirque,-33.6793441,-70.58310689999999,7.0
309,Negev,30.7140861,34.8757476,12.0
310,Pitsilia Mountains,35.0,33.0,35.0
311,East Coast,-42.0,174.0,11.0
312,Mavrodaphne of Patras,39.0,22.0,14.0
313,Attica,-37.8770094,144.9973091,14.0
314,Progreso,-33.0,-56.0,25.0
315,Elazığ-Diyarbakir,37.9489242,40.1954983,19.0
316,Jonkershoek Valley,-33.950569,18.904578,10.0
317,Tikves,41.4351304,22.0028083,41.0
318,Vale Trentino,-29.231643,-51.2702634,29.0
319,Turkey,38.963745,35.243322,19.0
320,Waiheke Island,-36.8019237,175.1080146,11.0
321,Molina,-30.0,-71.0,7.0
322,Serra do Sudeste,-20.1724023,-40.2470181,29.0
323,Dalmatian Coast,45.166667,15.5,23.0
324,Eilandia,-33.7725,19.67317,10.0
325,Dealurile Munteniei,46.0,25.0,15.0
326,Thraki,39.0,22.0,14.0
327,Curicó and Maipo Valleys,-30.0,-71.0,7.0
328,Štajerska,46.25,15.166667000000002,21.0
329,Middle and South Dalmatia,45.166667,15.5,23.0
330,Kentucky,37.8393332,-84.2700179,2.0
331,Župa,44.0,21.0,28.0
332,Pafos,34.7720133,32.4297369,35.0
333,Monemvasia,36.6876016,23.056032,14.0
334,Szekszárd,46.3474326,18.7062293,13.0
335,Elazığ,38.674816,39.22251500000001,19.0
336,Cappadocia,39.059012,34.911546,19.0
337,Kutjevo,45.42588139999999,17.88337,23.0
338,Ismarikos,39.0,22.0,14.0
339,Connecticut,41.6032207,-73.087749,2.0
340,Sithonia,40.042709,23.9060624,14.0
341,Curicó and Leyda Valleys,-30.0,-71.0,7.0
342,Agioritikos,39.0,22.0,14.0
343,Casablanca-Curicó Valley,-30.0,-71.0,7.0
344,Piekenierskloof,-32.6190623,18.9571251,10.0
345,Elim,-30.0,26.0,10.0
346,Malgas,-34.3204182,20.5811363,10.0
347,Beotia,38.3663664,23.0965064,14.0
348,Algarve,37.0179538,-7.930834000000001,1.0
349,Retsina,39.0,22.0,14.0
350,Amindeo,40.6905178,21.6797432,14.0
351,Coelemu,-36.4983941,-72.7570024,7.0
352,Cape South Coast,-30.0,26.0,10.0
353,Sopron,47.68166189999999,16.5844795,13.0
354,Bulgaria,42.733883,25.48583,34.0
355,North Dalmatia,45.166667,15.5,23.0
356,Northern Cape,-29.0466808,21.8568586,10.0
357,Vinho da Mesa,39.5,-8.0,1.0
358,Hvar,43.1541875,16.6527099,23.0
359,Cephalonia,38.1753675,20.5692179,14.0
360,Lemesos,34.7071301,33.0226174,35.0
361,Cahul,45.8939404,28.1890275,30.0
362,Cyclades,37.1548247,25.0687356,14.0
363,Breede River Valley,-33.7932829,19.6768885,10.0
364,Ticino,46.331734,8.800452900000002,37.0
365,Vlootenburg,-30.0,26.0,10.0
366,Brda,45.9975652,13.5270474,21.0
367,Dingač,45.166667,15.5,23.0
368,Morocco,31.791702,-7.092619999999999,31.0
369,Achaia,38.1158729,21.9522491,14.0
370,Polkadraai Hills,-33.9608446,18.800415,10.0
371,Rhode Island,41.5800945,-71.4774291,2.0
372,Amyndeon,40.6905178,21.6797432,14.0
373,Vânju Mare,44.4257053,22.8680481,15.0
374,Hrvatsko Primorje,45.31739959999999,14.8167466,23.0
375,Central Greece,38.6043928,22.7152125,14.0
376,Dolenjska,46.25,15.166667000000002,21.0
377,Österreichischer Perlwein,47.333333,13.333332999999998,9.0
